indv,nex,species,family,hopkins
WIHOR46,221,Swamp sparrow,songbird,0.03856693301459091
bird6,103256,Canary,songbird,0.005281640188376513
207,3078,Egyptian fruit bat,mammal,0.11392197031738982
PAGeneva08-47,216,Swamp sparrow,songbird,0.02379518295098859
WM29,3160,White-rumped munia,songbird,0.015553246214019323
230,17488,Egyptian fruit bat,mammal,0.08969107687952471
NYHVTIV23,218,Swamp sparrow,songbird,0.036997259695581874
s14,26111,Human (English),mammal,0.040248374513773166
Bird6,17653,Bengalese finch,songbird,0.005383109751217141
MIWAT47,231,Swamp sparrow,songbird,0.02416168000963348
WM32,4946,White-rumped munia,songbird,0.025570026474927898
s02,20732,Human (English),mammal,0.09366804022421793
b1125,2702,European starling,songbird,0.018725286266400243
WM24,147,White-rumped munia,songbird,0.23276652375324847
226,13083,Egyptian fruit bat,mammal,0.08799457633103891
s19,31905,Human (English),mammal,0.10966788541674732
PAConneaut08-110,243,Swamp sparrow,songbird,0.028766653190943292
AYO,1543,Cassin's vireo,songbird,0.01902811589040787
WM03,2446,White-rumped munia,songbird,0.009409022671208911
CATH-TLR7,1092,California thrasher,songbird,0.06822483901418708
MIWAT36,210,Swamp sparrow,songbird,0.021728138307511635
NYHVTHO10,232,Swamp sparrow,songbird,0.027018743707560966
WM43,1501,White-rumped munia,songbird,0.19094235149243877
114,823,Egyptian fruit bat,mammal,0.21668013731471147
s25,25189,Human (English),mammal,0.06906703030233585
WM18,1353,White-rumped munia,songbird,0.015530646032052453
WIHOR40,223,Swamp sparrow,songbird,0.01922626290524887
201,4317,Egyptian fruit bat,mammal,0.22269415936698667
bl26lb16,70701,Bengalese finch,songbird,0.003953391287135677
s28,20711,Human (English),mammal,0.07889319858494348
119,3471,Egyptian fruit bat,mammal,0.13923009812357845
NYMONT12,306,Swamp sparrow,songbird,0.01740878761169773
NYHVVLY14,238,Swamp sparrow,songbird,0.020332970024343866
PAWatsonRun08-03,239,Swamp sparrow,songbird,0.02176809236588051
WM15,2234,White-rumped munia,songbird,0.013733222879988016
NYADIRAQBT06,240,Swamp sparrow,songbird,0.02435700787855366
102,1032,Egyptian fruit bat,mammal,0.18355310025327198
ORA,2805,Cassin's vireo,songbird,0.013140414789172827
0,38099,Egyptian fruit bat,mammal,0.08806839657016374
lr12,11369,Zebra finch,songbird,0.00736373117116651
s33,17663,Human (English),mammal,0.0652939179742904
AGBk,9875,Cassin's vireo,songbird,0.010397843833944487
s04,19108,Human (English),mammal,0.07235666926672746
CATH-TLR10,701,California thrasher,songbird,0.15647579748126017
NYHVVLY38,219,Swamp sparrow,songbird,0.01699004088383893
WM22,790,White-rumped munia,songbird,0.051939715463792946
WM39,4580,White-rumped munia,songbird,0.01250851844610712
220,4104,Egyptian fruit bat,mammal,0.0368666874485446
PAConneaut08-082,252,Swamp sparrow,songbird,0.030135441215305425
s09,20053,Human (English),mammal,0.11500964455762408
lr28,12067,Zebra finch,songbird,0.007052538961528798
WIHOR37,294,Swamp sparrow,songbird,0.021268150963573818
Bird0,7652,Bengalese finch,songbird,0.006391188038620155
s12,27160,Human (English),mammal,0.0816949351855325
WM34,3039,White-rumped munia,songbird,0.023731848631744268
bird2,35788,Canary,songbird,0.00792446718815265
203,2448,Egyptian fruit bat,mammal,0.22810532388492843
PAWatsonRun08-17,253,Swamp sparrow,songbird,0.03200007561659246
NYHVTHO09,212,Swamp sparrow,songbird,0.032950938264128427
NYADIRAQBT09,212,Swamp sparrow,songbird,0.02136276734477449
VOC597,1575,Mouse,mammal,0.1363229823182488
lny64,8449,Zebra finch,songbird,0.007696007050957188
s27,19219,Human (English),mammal,0.07954851900699589
WM41,2073,White-rumped munia,songbird,0.014573922304381037
116,537,Egyptian fruit bat,mammal,0.23447827073075667
BuRA,5527,Cassin's vireo,songbird,0.013490399217311322
PAConneaut08-021,238,Swamp sparrow,songbird,0.019241386731172816
WM01,2389,White-rumped munia,songbird,0.005767394674133675
GRA,3045,Cassin's vireo,songbird,0.011426303786583492
